Term,Gender,MinimumFaceAmount,MaximumFaceAmount,PolicyFee,HealthClass,Age,RatePerThousand
10,Male,100000,249999,74,Preferred Plus Non-Tob,20,0.3099
10,Male,100000,249999,74,Preferred Plus Non-Tob,21,0.3099
10,Male,100000,249999,74,Preferred Plus Non-Tob,22,0.3099
10,Male,100000,249999,74,Preferred Plus Non-Tob,23,0.3099
10,Male,100000,249999,74,Preferred Plus Non-Tob,24,0.3099
10,Male,100000,249999,74,Preferred Plus Non-Tob,25,0.3099
10,Male,100000,249999,74,Preferred Plus Non-Tob,26,0.3099
10,Male,100000,249999,74,Preferred Plus Non-Tob,27,0.3099
10,Male,100000,249999,74,Preferred Plus Non-Tob,28,0.3168
10,Male,100000,249999,74,Preferred Plus Non-Tob,29,0.3198
10,Male,100000,249999,74,Preferred Plus Non-Tob,30,0.3323
10,Male,100000,249999,74,Preferred Plus Non-Tob,31,0.3325
10,Male,100000,249999,74,Preferred Plus Non-Tob,32,0.3325
10,Male,100000,249999,74,Preferred Plus Non-Tob,33,0.3421
10,Male,100000,249999,74,Preferred Plus Non-Tob,34,0.3421
10,Male,100000,249999,74,Preferred Plus Non-Tob,35,0.3463
10,Male,100000,249999,74,Preferred Plus Non-Tob,36,0.3498
10,Male,100000,249999,74,Preferred Plus Non-Tob,37,0.3498
10,Male,100000,249999,74,Preferred Plus Non-Tob,38,0.3498
10,Male,100000,249999,74,Preferred Plus Non-Tob,39,0.3799
10,Male,100000,249999,74,Preferred Plus Non-Tob,40,0.3999
10,Male,100000,249999,74,Preferred Plus Non-Tob,41,0.4499
10,Male,100000,249999,74,Preferred Plus Non-Tob,42,0.4999
10,Male,100000,249999,74,Preferred Plus Non-Tob,43,0.5599
10,Male,100000,249999,74,Preferred Plus Non-Tob,44,0.6299
10,Male,100000,249999,74,Preferred Plus Non-Tob,45,0.7099
10,Male,100000,249999,74,Preferred Plus Non-Tob,46,0.7799
10,Male,100000,249999,74,Preferred Plus Non-Tob,47,0.8499
10,Male,100000,249999,74,Preferred Plus Non-Tob,48,0.8549
10,Male,100000,249999,74,Preferred Plus Non-Tob,49,0.8820
10,Male,100000,249999,74,Preferred Plus Non-Tob,50,0.9717
10,Male,100000,249999,74,Preferred Plus Non-Tob,51,1.0801
10,Male,100000,249999,74,Preferred Plus Non-Tob,52,1.1975
10,Male,100000,249999,74,Preferred Plus Non-Tob,53,1.3268
10,Male,100000,249999,74,Preferred Plus Non-Tob,54,1.4716
10,Male,100000,249999,74,Preferred Plus Non-Tob,55,1.7098
10,Male,100000,249999,74,Preferred Plus Non-Tob,56,1.9455
10,Male,100000,249999,74,Preferred Plus Non-Tob,57,2.1817
10,Male,100000,249999,74,Preferred Plus Non-Tob,58,2.6999
10,Male,100000,249999,74,Preferred Plus Non-Tob,59,2.9999
10,Male,100000,249999,74,Preferred Plus Non-Tob,60,3.2999
10,Male,100000,249999,74,Preferred Plus Non-Tob,61,3.7099
10,Male,100000,249999,74,Preferred Plus Non-Tob,62,4.1699
10,Male,100000,249999,74,Preferred Plus Non-Tob,63,4.5502
10,Male,100000,249999,74,Preferred Plus Non-Tob,64,4.9672
10,Male,100000,249999,74,Preferred Plus Non-Tob,65,5.5530
10,Male,100000,249999,74,Preferred Plus Non-Tob,66,6.2599
10,Male,100000,249999,74,Preferred Plus Non-Tob,67,7.0299
10,Male,100000,249999,74,Preferred Plus Non-Tob,68,8.0562
10,Male,100000,249999,74,Preferred Plus Non-Tob,69,9.0800
10,Male,100000,249999,74,Preferred Plus Non-Tob,70,10.2899
10,Male,100000,249999,74,Preferred Plus Non-Tob,71,11.3841
10,Male,100000,249999,74,Preferred Plus Non-Tob,72,12.7129
10,Male,100000,249999,74,Preferred Plus Non-Tob,73,14.3542
10,Male,100000,249999,74,Preferred Plus Non-Tob,74,16.0737
10,Male,100000,249999,74,Preferred Plus Non-Tob,75,18.1059
10,Male,100000,249999,74,Preferred Plus Non-Tob,76,22.9316
10,Male,100000,249999,74,Preferred Plus Non-Tob,77,28.7913
10,Male,100000,249999,74,Preferred Plus Non-Tob,78,36.0298
10,Male,100000,249999,74,Preferred Plus Non-Tob,79,43.6130
10,Male,100000,249999,74,Preferred Plus Non-Tob,80,52.5749
10,Male,100000,249999,74,Preferred Non-Tob,20,0.4098
10,Male,100000,249999,74,Preferred Non-Tob,21,0.4098
10,Male,100000,249999,74,Preferred Non-Tob,22,0.4098
10,Male,100000,249999,74,Preferred Non-Tob,23,0.4098
10,Male,100000,249999,74,Preferred Non-Tob,24,0.4098
