SheetNo,Term,Gender,MinimumFaceAmount,MaximumFaceAmount,HealthClass,MinimumAge,MaximumAge,StartingRow,Column,PolicyFee
5,10,Male,100000,249999,Preferred Plus Non-Tob,20,80,10,2,74
5,10,Male,100000,249999,Preferred Non-Tob,20,80,10,3,74
5,10,Male,100000,249999,Standard Plus Non-Tob,20,80,10,4,74
5,10,Male,100000,249999,Standard Non-Tob,20,80,10,4,74
5,10,Male,100000,249999,Preferred Tob,20,75,10,6,74
5,10,Male,100000,249999,Standard Tob,20,75,10,7,74
5,10,Female,100000,249999,Preferred Plus Non-Tob,20,80,10,12,74
5,10,Female,100000,249999,Preferred Non-Tob,20,80,10,13,74
5,10,Female,100000,249999,Standard Plus Non-Tob,20,80,10,14,74
5,10,Female,100000,249999,Standard Non-Tob,20,80,10,15,74
5,10,Female,100000,249999,Preferred Tob,20,75,10,16,74
5,10,Female,100000,249999,Standard Tob,20,75,10,17,74
6,15,Male,100000,249999,Preferred Plus Non-Tob,20,75,10,2,74
6,15,Male,100000,249999,Preferred Non-Tob,20,75,10,3,74
6,15,Male,100000,249999,Standard Plus Non-Tob,20,75,10,4,74
6,15,Male,100000,249999,Standard Non-Tob,20,75,10,4,74
6,15,Male,100000,249999,Preferred Tob,20,70,10,6,74
6,15,Male,100000,249999,Standard Tob,20,70,10,7,74
6,15,Female,100000,249999,Preferred Plus Non-Tob,20,75,10,12,74
6,15,Female,100000,249999,Preferred Non-Tob,20,75,10,13,74
6,15,Female,100000,249999,Standard Plus Non-Tob,20,75,10,14,74
6,15,Female,100000,249999,Standard Non-Tob,20,75,10,15,74
6,15,Female,100000,249999,Preferred Tob,20,70,10,16,74
6,15,Female,100000,249999,Standard Tob,20,70,10,17,74
7,20,Male,100000,249999,Preferred Plus Non-Tob,20,70,10,2,74
7,20,Male,100000,249999,Preferred Non-Tob,20,70,10,3,74
7,20,Male,100000,249999,Standard Plus Non-Tob,20,70,10,4,74
7,20,Male,100000,249999,Standard Non-Tob,20,70,10,4,74
7,20,Male,100000,249999,Preferred Tob,20,65,10,6,74
7,20,Male,100000,249999,Standard Tob,20,65,10,7,74
7,20,Female,100000,249999,Preferred Plus Non-Tob,20,70,10,12,74
7,20,Female,100000,249999,Preferred Non-Tob,20,70,10,13,74
7,20,Female,100000,249999,Standard Plus Non-Tob,20,70,10,14,74
7,20,Female,100000,249999,Standard Non-Tob,20,70,10,15,74
7,20,Female,100000,249999,Preferred Tob,20,65,10,16,74
7,20,Female,100000,249999,Standard Tob,20,65,10,17,74
8,25,Male,100000,249999,Preferred Plus Non-Tob,20,63,10,2,74
8,25,Male,100000,249999,Preferred Non-Tob,20,63,10,3,74
8,25,Male,100000,249999,Standard Plus Non-Tob,20,63,10,4,74
8,25,Male,100000,249999,Standard Non-Tob,20,63,10,4,74
8,25,Male,100000,249999,Preferred Tob,20,58,10,6,74
8,25,Male,100000,249999,Standard Tob,20,58,10,7,74
8,25,Female,100000,249999,Preferred Plus Non-Tob,20,63,10,12,74
8,25,Female,100000,249999,Preferred Non-Tob,20,63,10,13,74
8,25,Female,100000,249999,Standard Plus Non-Tob,20,63,10,14,74
8,25,Female,100000,249999,Standard Non-Tob,20,63,10,15,74
8,25,Female,100000,249999,Preferred Tob,20,58,10,16,74
8,25,Female,100000,249999,Standard Tob,20,58,10,17,74
9,30,Male,100000,249999,Preferred Plus Non-Tob,20,55,10,2,74
9,30,Male,100000,249999,Preferred Non-Tob,20,55,10,3,74
9,30,Male,100000,249999,Standard Plus Non-Tob,20,55,10,4,74
9,30,Male,100000,249999,Standard Non-Tob,20,55,10,4,74
9,30,Male,100000,249999,Preferred Tob,20,50,10,6,74
9,30,Male,100000,249999,Standard Tob,20,50,10,7,74
9,30,Female,100000,249999,Preferred Plus Non-Tob,20,55,10,12,74
9,30,Female,100000,249999,Preferred Non-Tob,20,55,10,13,74
9,30,Female,100000,249999,Standard Plus Non-Tob,20,55,10,14,74
9,30,Female,100000,249999,Standard Non-Tob,20,55,10,15,74
9,30,Female,100000,249999,Preferred Tob,20,50,10,16,74
9,30,Female,100000,249999,Standard Tob,20,50,10,17,74
10,35,Male,100000,249999,Preferred Plus Non-Tob,20,45,10,2,74
10,35,Male,100000,249999,Preferred Non-Tob,20,45,10,3,74
10,35,Male,100000,249999,Standard Plus Non-Tob,20,45,10,4,74
10,35,Male,100000,249999,Standard Non-Tob,20,45,10,4,74
10,35,Male,100000,249999,Preferred Tob,20,40,10,6,74
10,35,Male,100000,249999,Standard Tob,20,40,10,7,74
10,35,Female,100000,249999,Preferred Plus Non-Tob,20,45,10,12,74
10,35,Female,100000,249999,Preferred Non-Tob,20,45,10,13,74
10,35,Female,100000,249999,Standard Plus Non-Tob,20,45,10,14,74
10,35,Female,100000,249999,Standard Non-Tob,20,45,10,15,74
10,35,Female,100000,249999,Preferred Tob,20,40,10,16,74
10,35,Female,100000,249999,Standard Tob,20,40,10,17,74
11,10,Male,250000,499999,Preferred Plus Non-Tob,20,80,10,2,64
11,10,Male,250000,499999,Preferred Non-Tob,20,80,10,3,64
11,10,Male,250000,499999,Standard Plus Non-Tob,20,80,10,4,64
11,10,Male,250000,499999,Standard Non-Tob,20,80,10,4,64
11,10,Male,250000,499999,Preferred Tob,20,75,10,6,64
11,10,Male,250000,499999,Standard Tob,20,75,10,7,64
11,10,Female,250000,499999,Preferred Plus Non-Tob,20,80,10,12,64
11,10,Female,250000,499999,Preferred Non-Tob,20,80,10,13,64
11,10,Female,250000,499999,Standard Plus Non-Tob,20,80,10,14,64
