Term,Gender,MinimumFaceAmount,MaximumFaceAmount,PolicyFee,HealthClass,Age,RatePerThousand
10,Male,100000,249999,90,Preferred Plus Non-Tob,20,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,21,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,22,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,23,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,24,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,25,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,26,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,27,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,28,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,29,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,30,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,31,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,32,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,33,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,34,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,35,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,36,0.1190
10,Male,100000,249999,90,Preferred Plus Non-Tob,37,0.1874
10,Male,100000,249999,90,Preferred Plus Non-Tob,38,0.1897
10,Male,100000,249999,90,Preferred Plus Non-Tob,39,0.2198
10,Male,100000,249999,90,Preferred Plus Non-Tob,40,0.2749
10,Male,100000,249999,90,Preferred Plus Non-Tob,41,0.3293
10,Male,100000,249999,90,Preferred Plus Non-Tob,42,0.3398
10,Male,100000,249999,90,Preferred Plus Non-Tob,43,0.3794
10,Male,100000,249999,90,Preferred Plus Non-Tob,44,0.4488
10,Male,100000,249999,90,Preferred Plus Non-Tob,45,0.4491
10,Male,100000,249999,90,Preferred Plus Non-Tob,46,0.6099
10,Male,100000,249999,90,Preferred Plus Non-Tob,47,0.6898
10,Male,100000,249999,90,Preferred Plus Non-Tob,48,0.8288
10,Male,100000,249999,90,Preferred Plus Non-Tob,49,1.0099
10,Male,100000,249999,90,Preferred Plus Non-Tob,50,1.1582
10,Male,100000,249999,90,Preferred Plus Non-Tob,51,1.2723
10,Male,100000,249999,90,Preferred Plus Non-Tob,52,1.3852
10,Male,100000,249999,90,Preferred Plus Non-Tob,53,1.5499
10,Male,100000,249999,90,Preferred Plus Non-Tob,54,1.7252
10,Male,100000,249999,90,Preferred Plus Non-Tob,55,1.8841
10,Male,100000,249999,90,Preferred Plus Non-Tob,56,2.1229
10,Male,100000,249999,90,Preferred Plus Non-Tob,57,2.3688
10,Male,100000,249999,90,Preferred Plus Non-Tob,58,2.6405
10,Male,100000,249999,90,Preferred Plus Non-Tob,59,2.9499
10,Male,100000,249999,90,Preferred Plus Non-Tob,60,3.2582
10,Male,100000,249999,90,Preferred Plus Non-Tob,61,3.5498
10,Male,100000,249999,90,Preferred Plus Non-Tob,62,4.0098
10,Male,100000,249999,90,Preferred Plus Non-Tob,63,4.2299
10,Male,100000,249999,90,Preferred Plus Non-Tob,64,4.8016
10,Male,100000,249999,90,Preferred Plus Non-Tob,65,5.2747
10,Male,100000,249999,90,Preferred Plus Non-Tob,66,5.9170
10,Male,100000,249999,90,Preferred Plus Non-Tob,67,6.5994
10,Male,100000,249999,90,Preferred Plus Non-Tob,68,7.3747
10,Male,100000,249999,90,Preferred Plus Non-Tob,69,8.3099
10,Male,100000,249999,90,Preferred Plus Non-Tob,70,9.1817
10,Male,100000,249999,90,Preferred Plus Non-Tob,71,10.1982
10,Male,100000,249999,90,Preferred Plus Non-Tob,72,11.3582
10,Male,100000,249999,90,Preferred Plus Non-Tob,73,12.8194
10,Male,100000,249999,90,Preferred Plus Non-Tob,74,14.6723
10,Male,100000,249999,90,Preferred Plus Non-Tob,75,16.7111
10,Male,100000,249999,90,Preferred Non-Tob,20,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,21,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,22,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,23,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,24,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,25,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,26,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,27,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,28,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,29,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,30,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,31,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,32,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,33,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,34,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,35,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,36,0.2497
10,Male,100000,249999,90,Preferred Non-Tob,37,0.3336
10,Male,100000,249999,90,Preferred Non-Tob,38,0.3799
10,Male,100000,249999,90,Preferred Non-Tob,39,0.4162
10,Male,100000,249999,90,Preferred Non-Tob,40,0.4864
10,Male,100000,249999,90,Preferred Non-Tob,41,0.5147
10,Male,100000,249999,90,Preferred Non-Tob,42,0.5699
10,Male,100000,249999,90,Preferred Non-Tob,43,0.6498
10,Male,100000,249999,90,Preferred Non-Tob,44,0.7398
10,Male,100000,249999,90,Preferred Non-Tob,45,0.7398
10,Male,100000,249999,90,Preferred Non-Tob,46,0.9198
10,Male,100000,249999,90,Preferred Non-Tob,47,1.0098
10,Male,100000,249999,90,Preferred Non-Tob,48,1.0999
10,Male,100000,249999,90,Preferred Non-Tob,49,1.2841
10,Male,100000,249999,90,Preferred Non-Tob,50,1.4076
10,Male,100000,249999,90,Preferred Non-Tob,51,1.5735
10,Male,100000,249999,90,Preferred Non-Tob,52,1.7499
10,Male,100000,249999,90,Preferred Non-Tob,53,1.8799
10,Male,100000,249999,90,Preferred Non-Tob,54,2.1199
10,Male,100000,249999,90,Preferred Non-Tob,55,2.3899
10,Male,100000,249999,90,Preferred Non-Tob,56,2.5076
10,Male,100000,249999,90,Preferred Non-Tob,57,2.6651
10,Male,100000,249999,90,Preferred Non-Tob,58,3.0029
10,Male,100000,249999,90,Preferred Non-Tob,59,3.3641
10,Male,100000,249999,90,Preferred Non-Tob,60,3.6299
10,Male,100000,249999,90,Preferred Non-Tob,61,3.9288
10,Male,100000,249999,90,Preferred Non-Tob,62,4.4098
10,Male,100000,249999,90,Preferred Non-Tob,63,4.8547
10,Male,100000,249999,90,Preferred Non-Tob,64,5.5923
10,Male,100000,249999,90,Preferred Non-Tob,65,6.4382
10,Male,100000,249999,90,Preferred Non-Tob,66,7.1994
10,Male,100000,249999,90,Preferred Non-Tob,67,8.0476
10,Male,100000,249999,90,Preferred Non-Tob,68,8.9852
10,Male,100000,249999,90,Preferred Non-Tob,69,10.1147
10,Male,100000,249999,90,Preferred Non-Tob,70,11.1629
10,Male,100000,249999,90,Preferred Non-Tob,71,12.4135
10,Male,100000,249999,90,Preferred Non-Tob,72,13.8323
10,Male,100000,249999,90,Preferred Non-Tob,73,15.6170
10,Male,100000,249999,90,Preferred Non-Tob,74,17.8782
10,Male,100000,249999,90,Preferred Non-Tob,75,20.3629
10,Male,100000,249999,90,Standard Plus Non-Tob,20,0.4442
10,Male,100000,249999,90,Standard Plus Non-Tob,21,0.4442
10,Male,100000,249999,90,Standard Plus Non-Tob,22,0.4442
10,Male,100000,249999,90,Standard Plus Non-Tob,23,0.4442
10,Male,100000,249999,90,Standard Plus Non-Tob,24,0.4442
10,Male,100000,249999,90,Standard Plus Non-Tob,25,0.4442
10,Male,100000,249999,90,Standard Plus Non-Tob,26,0.4442
10,Male,100000,249999,90,Standard Plus Non-Tob,27,0.4442
10,Male,100000,249999,90,Standard Plus Non-Tob,28,0.4442
10,Male,100000,249999,90,Standard Plus Non-Tob,29,0.4442
10,Male,100000,249999,90,Standard Plus Non-Tob,30,0.4442
10,Male,100000,249999,90,Standard Plus Non-Tob,31,0.4442
10,Male,100000,249999,90,Standard Plus Non-Tob,32,0.4641
10,Male,100000,249999,90,Standard Plus Non-Tob,33,0.4641
10,Male,100000,249999,90,Standard Plus Non-Tob,34,0.4747
10,Male,100000,249999,90,Standard Plus Non-Tob,35,0.4747
10,Male,100000,249999,90,Standard Plus Non-Tob,36,0.5096
10,Male,100000,249999,90,Standard Plus Non-Tob,37,0.5499
10,Male,100000,249999,90,Standard Plus Non-Tob,38,0.5899
10,Male,100000,249999,90,Standard Plus Non-Tob,39,0.6451
10,Male,100000,249999,90,Standard Plus Non-Tob,40,0.7042
10,Male,100000,249999,90,Standard Plus Non-Tob,41,0.7633
10,Male,100000,249999,90,Standard Plus Non-Tob,42,0.8254
10,Male,100000,249999,90,Standard Plus Non-Tob,43,0.8909
10,Male,100000,249999,90,Standard Plus Non-Tob,44,0.9852
10,Male,100000,249999,90,Standard Plus Non-Tob,45,1.0899
10,Male,100000,249999,90,Standard Plus Non-Tob,46,1.2370
10,Male,100000,249999,90,Standard Plus Non-Tob,47,1.4158
10,Male,100000,249999,90,Standard Plus Non-Tob,48,1.6357
10,Male,100000,249999,90,Standard Plus Non-Tob,49,1.7135
10,Male,100000,249999,90,Standard Plus Non-Tob,50,1.9076
10,Male,100000,249999,90,Standard Plus Non-Tob,51,2.3299
10,Male,100000,249999,90,Standard Plus Non-Tob,52,2.3299
10,Male,100000,249999,90,Standard Plus Non-Tob,53,2.4151
