SheetNo,Term,Gender,MinimumFaceAmount,MaximumFaceAmount,HealthClass,MinimumAge,MaximumAge,StartingRow,Column,PolicyFee
2,10,Male,100000,249999,Preferred Plus Non-Tob,20,75,6,4,90
2,10,Male,100000,249999,Preferred Non-Tob,20,75,6,5,90
2,10,Male,100000,249999,Standard Plus Non-Tob,20,75,6,6,90
2,10,Male,100000,249999,Standard Non-Tob,20,75,6,7,90
2,10,Male,100000,249999,Preferred Tob,20,75,6,8,90
2,10,Male,100000,249999,Standard Tob,20,75,6,9,90
2,10,Male,250000,499999,Preferred Plus Non-Tob,20,75,6,10,90
2,10,Male,250000,499999,Preferred Non-Tob,20,75,6,11,90
2,10,Male,250000,499999,Standard Plus Non-Tob,20,75,6,12,90
2,10,Male,250000,499999,Standard Non-Tob,20,75,6,13,90
2,10,Male,250000,499999,Preferred Tob,20,75,6,14,90
2,10,Male,250000,499999,Standard Tob,20,75,6,15,90
2,10,Male,500000,999999,Preferred Plus Non-Tob,20,75,6,16,90
2,10,Male,500000,999999,Preferred Non-Tob,20,75,6,17,90
2,10,Male,500000,999999,Standard Plus Non-Tob,20,75,6,18,90
2,10,Male,500000,999999,Standard Non-Tob,20,75,6,19,90
2,10,Male,500000,999999,Preferred Tob,20,75,6,20,90
2,10,Male,500000,999999,Standard Tob,20,75,6,21,90
2,10,Male,1000000,1499999,Preferred Plus Non-Tob,20,75,6,22,90
2,10,Male,1000000,1499999,Preferred Non-Tob,20,75,6,23,90
2,10,Male,1000000,1499999,Standard Plus Non-Tob,20,75,6,24,90
2,10,Male,1000000,1499999,Standard Non-Tob,20,75,6,25,90
2,10,Male,1000000,1499999,Preferred Tob,20,75,6,26,90
2,10,Male,1000000,1499999,Standard Tob,20,75,6,27,90
2,10,Male,1500000,2499999,Preferred Plus Non-Tob,20,75,6,28,90
2,10,Male,1500000,2499999,Preferred Non-Tob,20,75,6,29,90
2,10,Male,1500000,2499999,Standard Plus Non-Tob,20,75,6,30,90
2,10,Male,1500000,2499999,Standard Non-Tob,20,75,6,31,90
2,10,Male,1500000,2499999,Preferred Tob,20,75,6,32,90
2,10,Male,1500000,2499999,Standard Tob,20,75,6,33,90
2,10,Male,2500000,4999999,Preferred Plus Non-Tob,20,75,6,34,90
2,10,Male,2500000,4999999,Preferred Non-Tob,20,75,6,35,90
2,10,Male,2500000,4999999,Standard Plus Non-Tob,20,75,6,36,90
2,10,Male,2500000,4999999,Standard Non-Tob,20,75,6,37,90
2,10,Male,2500000,4999999,Preferred Tob,20,75,6,38,90
2,10,Male,2500000,4999999,Standard Tob,20,75,6,39,90
2,10,Male,5000000,10000000,Preferred Plus Non-Tob,20,75,6,40,90
2,10,Male,5000000,10000000,Preferred Non-Tob,20,75,6,41,90
2,10,Male,5000000,10000000,Standard Plus Non-Tob,20,75,6,42,90
2,10,Male,5000000,10000000,Standard Non-Tob,20,75,6,43,90
2,10,Male,5000000,10000000,Preferred Tob,20,75,6,44,90
2,10,Male,5000000,10000000,Standard Tob,20,75,6,45,90
2,10,Female,100000,249999,Preferred Plus Non-Tob,20,75,6,46,90
2,10,Female,100000,249999,Preferred Non-Tob,20,75,6,47,90
2,10,Female,100000,249999,Standard Plus Non-Tob,20,75,6,48,90
2,10,Female,100000,249999,Standard Non-Tob,20,75,6,49,90
2,10,Female,100000,249999,Preferred Tob,20,75,6,50,90
2,10,Female,100000,249999,Standard Tob,20,75,6,51,90
2,10,Female,250000,499999,Preferred Plus Non-Tob,20,75,6,52,90
2,10,Female,250000,499999,Preferred Non-Tob,20,75,6,53,90
2,10,Female,250000,499999,Standard Plus Non-Tob,20,75,6,54,90
2,10,Female,250000,499999,Standard Non-Tob,20,75,6,55,90
2,10,Female,250000,499999,Preferred Tob,20,75,6,56,90
2,10,Female,250000,499999,Standard Tob,20,75,6,57,90
2,10,Female,500000,999999,Preferred Plus Non-Tob,20,75,6,58,90
2,10,Female,500000,999999,Preferred Non-Tob,20,75,6,59,90
2,10,Female,500000,999999,Standard Plus Non-Tob,20,75,6,60,90
2,10,Female,500000,999999,Standard Non-Tob,20,75,6,61,90
2,10,Female,500000,999999,Preferred Tob,20,75,6,62,90
2,10,Female,500000,999999,Standard Tob,20,75,6,63,90
2,10,Female,1000000,1499999,Preferred Plus Non-Tob,20,75,6,64,90
2,10,Female,1000000,1499999,Preferred Non-Tob,20,75,6,65,90
2,10,Female,1000000,1499999,Standard Plus Non-Tob,20,75,6,66,90
2,10,Female,1000000,1499999,Standard Non-Tob,20,75,6,67,90
2,10,Female,1000000,1499999,Preferred Tob,20,75,6,68,90
2,10,Female,1000000,1499999,Standard Tob,20,75,6,69,90
2,10,Female,1500000,2499999,Preferred Plus Non-Tob,20,75,6,70,90
