Term,Age,TobaccoUse,RatePerThousand
10,20,False,0.0800
10,21,False,0.0800
10,22,False,0.0800
10,23,False,0.0800
10,24,False,0.0800
10,25,False,0.0800
10,26,False,0.0900
10,27,False,0.0900
10,28,False,0.0900
10,29,False,0.0900
10,30,False,0.0900
10,31,False,0.1000
10,32,False,0.1000
10,33,False,0.1000
10,34,False,0.1000
10,35,False,0.1000
10,36,False,0.1100
10,37,False,0.1300
10,38,False,0.1400
10,39,False,0.1500
10,40,False,0.1600
10,41,False,0.1800
10,42,False,0.2000
10,43,False,0.2300
10,44,False,0.2600
10,45,False,0.2800
10,46,False,0.3000
10,47,False,0.3300
10,48,False,0.4100
10,49,False,0.5000
10,50,False,0.6300
10,51,False,0.8000
10,52,False,1.0000
10,53,False,1.2200
10,54,False,1.5200
10,55,False,1.9300
10,20,True,0.1000
10,21,True,0.1000
10,22,True,0.1000
10,23,True,0.1000
10,24,True,0.1000
10,25,True,0.1000
10,26,True,0.1200
10,27,True,0.1200
10,28,True,0.1200
10,29,True,0.1200
10,30,True,0.1200
10,31,True,0.1400
10,32,True,0.1500
10,33,True,0.1600
10,34,True,0.1600
10,35,True,0.1700
10,36,True,0.1800
10,37,True,0.2300
10,38,True,0.2500
10,39,True,0.2800
10,40,True,0.3000
10,41,True,0.3400
10,42,True,0.4000
10,43,True,0.4600
10,44,True,0.5400
10,45,True,0.5800
10,46,True,0.6300
10,47,True,0.6900
10,48,True,0.8700
10,49,True,1.0600
10,50,True,1.3200
10,51,True,1.7000
10,52,True,2.1400
10,53,True,2.6100
10,54,True,3.2700
10,55,True,4.1300
15,20,False,0.0800
15,21,False,0.0800
15,22,False,0.0800
15,23,False,0.0800
15,24,False,0.0800
15,25,False,0.0800
15,26,False,0.0900
15,27,False,0.0900
15,28,False,0.0900
15,29,False,0.0900
15,30,False,0.0900
15,31,False,0.1000
15,32,False,0.1000
15,33,False,0.1000
15,34,False,0.1100
15,35,False,0.1200
15,36,False,0.1300
15,37,False,0.1400
15,38,False,0.1500
15,39,False,0.1600
15,40,False,0.1700
15,41,False,0.1900
15,42,False,0.2100
15,43,False,0.2400
15,44,False,0.2700
15,45,False,0.2900
15,46,False,0.3400
15,47,False,0.3800
15,48,False,0.4600
15,49,False,0.5900
15,50,False,0.6600
15,51,False,0.9700
15,52,False,1.1900
15,53,False,1.4400
15,54,False,1.7500
15,55,False,2.1500
15,20,True,0.1100
15,21,True,0.1100
15,22,True,0.1100
15,23,True,0.1100
15,24,True,0.1100
15,25,True,0.1200
15,26,True,0.1300
15,27,True,0.1300
15,28,True,0.1300
15,29,True,0.1300
15,30,True,0.1300
15,31,True,0.1400
15,32,True,0.1500
15,33,True,0.1600
15,34,True,0.1800
15,35,True,0.1900
15,36,True,0.2100
15,37,True,0.2400
15,38,True,0.2600
15,39,True,0.2900
15,40,True,0.3200
15,41,True,0.3600
15,42,True,0.4200
15,43,True,0.4700
15,44,True,0.5700
15,45,True,0.6000
15,46,True,0.6900
15,47,True,0.7900
15,48,True,0.9900
15,49,True,1.2400
15,50,True,1.3900
15,51,True,2.0500
15,52,True,2.5300
15,53,True,3.0800
15,54,True,3.7600
15,55,True,4.6100
20,20,False,0.1100
20,21,False,0.1100
20,22,False,0.1100
20,23,False,0.1100
20,24,False,0.1100
20,25,False,0.1100
20,26,False,0.1100
20,27,False,0.1100
20,28,False,0.1100
20,29,False,0.1100
20,30,False,0.1100
20,31,False,0.1100
20,32,False,0.1100
20,33,False,0.1200
20,34,False,0.1200
20,35,False,0.1300
20,36,False,0.1400
20,37,False,0.1500
20,38,False,0.1600
20,39,False,0.1800
20,40,False,0.2000
20,41,False,0.2200
20,42,False,0.2500
20,43,False,0.2800
20,44,False,0.3100
20,45,False,0.3500
20,46,False,0.4400
20,47,False,0.5000
20,48,False,0.5800
20,49,False,0.7100
20,50,False,0.7900
20,51,False,1.1000
20,52,False,1.4000
20,53,False,1.7300
20,54,False,2.1700
20,55,False,2.6200
20,20,True,0.1400
20,21,True,0.1400
20,22,True,0.1400
20,23,True,0.1400
20,24,True,0.1400
20,25,True,0.1400
20,26,True,0.1400
20,27,True,0.1400
20,28,True,0.1400
20,29,True,0.1400
20,30,True,0.1500
20,31,True,0.1500
20,32,True,0.1600
20,33,True,0.1800
20,34,True,0.1800
20,35,True,0.2100
20,36,True,0.2300
20,37,True,0.2700
20,38,True,0.2800
20,39,True,0.3300
20,40,True,0.3800
20,41,True,0.4200
20,42,True,0.4900
20,43,True,0.5600
20,44,True,0.6400
20,45,True,0.7300
20,46,True,0.9200
20,47,True,1.0500
20,48,True,1.2300
20,49,True,1.5000
20,50,True,1.6700
20,51,True,2.3400
20,52,True,3.0000
20,53,True,3.7100
20,54,True,4.6700
20,55,True,5.6100
25,20,False,0.1100
25,21,False,0.1100
25,22,False,0.1200
