Term,Gender,MinimumFaceAmount,MaximumFaceAmount,PolicyFee,HealthClass,Age,RatePerThousand
10,Male,100000,249999,65,Preferred Plus Non-Tob,18,0.2677
10,Male,100000,249999,65,Preferred Plus Non-Tob,19,0.2677
10,Male,100000,249999,65,Preferred Plus Non-Tob,20,0.2677
10,Male,100000,249999,65,Preferred Plus Non-Tob,21,0.2677
10,Male,100000,249999,65,Preferred Plus Non-Tob,22,0.2677
10,Male,100000,249999,65,Preferred Plus Non-Tob,23,0.2677
10,Male,100000,249999,65,Preferred Plus Non-Tob,24,0.2677
10,Male,100000,249999,65,Preferred Plus Non-Tob,25,0.2677
10,Male,100000,249999,65,Preferred Plus Non-Tob,26,0.2677
10,Male,100000,249999,65,Preferred Plus Non-Tob,27,0.2677
10,Male,100000,249999,65,Preferred Plus Non-Tob,28,0.2677
10,Male,100000,249999,65,Preferred Plus Non-Tob,29,0.2677
10,Male,100000,249999,65,Preferred Plus Non-Tob,30,0.2677
10,Male,100000,249999,65,Preferred Plus Non-Tob,31,0.2877
10,Male,100000,249999,65,Preferred Plus Non-Tob,32,0.2877
10,Male,100000,249999,65,Preferred Plus Non-Tob,33,0.2877
10,Male,100000,249999,65,Preferred Plus Non-Tob,34,0.2877
10,Male,100000,249999,65,Preferred Plus Non-Tob,35,0.2877
10,Male,100000,249999,65,Preferred Plus Non-Tob,36,0.2877
10,Male,100000,249999,65,Preferred Plus Non-Tob,37,0.2877
10,Male,100000,249999,65,Preferred Plus Non-Tob,38,0.2892
10,Male,100000,249999,65,Preferred Plus Non-Tob,39,0.3192
10,Male,100000,249999,65,Preferred Plus Non-Tob,40,0.3482
10,Male,100000,249999,65,Preferred Plus Non-Tob,41,0.4092
10,Male,100000,249999,65,Preferred Plus Non-Tob,42,0.4692
10,Male,100000,249999,65,Preferred Plus Non-Tob,43,0.5265
10,Male,100000,249999,65,Preferred Plus Non-Tob,44,0.5865
10,Male,100000,249999,65,Preferred Plus Non-Tob,45,0.6452
10,Male,100000,249999,65,Preferred Plus Non-Tob,46,0.6691
10,Male,100000,249999,65,Preferred Plus Non-Tob,47,0.7520
10,Male,100000,249999,65,Preferred Plus Non-Tob,48,0.8423
10,Male,100000,249999,65,Preferred Plus Non-Tob,49,0.9252
10,Male,100000,249999,65,Preferred Plus Non-Tob,50,1.0184
10,Male,100000,249999,65,Preferred Plus Non-Tob,51,1.1184
10,Male,100000,249999,65,Preferred Plus Non-Tob,52,1.2293
10,Male,100000,249999,65,Preferred Plus Non-Tob,53,1.3746
10,Male,100000,249999,65,Preferred Plus Non-Tob,54,1.5299
10,Male,100000,249999,65,Preferred Plus Non-Tob,55,1.7899
10,Male,100000,249999,65,Preferred Plus Non-Tob,56,1.8943
10,Male,100000,249999,65,Preferred Plus Non-Tob,57,2.1843
10,Male,100000,249999,65,Preferred Plus Non-Tob,58,2.5022
10,Male,100000,249999,65,Preferred Plus Non-Tob,59,2.8027
10,Male,100000,249999,65,Preferred Plus Non-Tob,60,2.8842
10,Male,100000,249999,65,Preferred Plus Non-Tob,61,3.4743
10,Male,100000,249999,65,Preferred Plus Non-Tob,62,3.9143
10,Male,100000,249999,65,Preferred Plus Non-Tob,63,4.2211
10,Male,100000,249999,65,Preferred Plus Non-Tob,64,4.7402
10,Male,100000,249999,65,Preferred Plus Non-Tob,65,5.5281
10,Male,100000,249999,65,Preferred Plus Non-Tob,66,6.1704
10,Male,100000,249999,65,Preferred Plus Non-Tob,67,6.8528
10,Male,100000,249999,65,Preferred Plus Non-Tob,68,7.6281
10,Male,100000,249999,65,Preferred Plus Non-Tob,69,8.5634
10,Male,100000,249999,65,Preferred Plus Non-Tob,70,9.4351
10,Male,100000,249999,65,Preferred Plus Non-Tob,71,10.4516
10,Male,100000,249999,65,Preferred Plus Non-Tob,72,11.6116
10,Male,100000,249999,65,Preferred Plus Non-Tob,73,13.0728
10,Male,100000,249999,65,Preferred Plus Non-Tob,74,14.9257
10,Male,100000,249999,65,Preferred Plus Non-Tob,75,16.9646
10,Male,100000,249999,65,Preferred Plus Non-Tob,76,25.4869
10,Male,100000,249999,65,Preferred Plus Non-Tob,77,31.9292
10,Male,100000,249999,65,Preferred Plus Non-Tob,78,40.8692
10,Male,100000,249999,65,Preferred Plus Non-Tob,79,47.0051
10,Male,100000,249999,65,Preferred Plus Non-Tob,80,52.6631
10,Male,100000,249999,65,Preferred Non-Tob,18,0.3570
10,Male,100000,249999,65,Preferred Non-Tob,19,0.3570
10,Male,100000,249999,65,Preferred Non-Tob,20,0.3570
10,Male,100000,249999,65,Preferred Non-Tob,21,0.3570
10,Male,100000,249999,65,Preferred Non-Tob,22,0.3570
10,Male,100000,249999,65,Preferred Non-Tob,23,0.3570
10,Male,100000,249999,65,Preferred Non-Tob,24,0.3570
10,Male,100000,249999,65,Preferred Non-Tob,25,0.3570
10,Male,100000,249999,65,Preferred Non-Tob,26,0.3570
10,Male,100000,249999,65,Preferred Non-Tob,27,0.3570
10,Male,100000,249999,65,Preferred Non-Tob,28,0.3570
10,Male,100000,249999,65,Preferred Non-Tob,29,0.3578
10,Male,100000,249999,65,Preferred Non-Tob,30,0.3592
10,Male,100000,249999,65,Preferred Non-Tob,31,0.3592
10,Male,100000,249999,65,Preferred Non-Tob,32,0.3592
10,Male,100000,249999,65,Preferred Non-Tob,33,0.3592
10,Male,100000,249999,65,Preferred Non-Tob,34,0.3592
10,Male,100000,249999,65,Preferred Non-Tob,35,0.3592
10,Male,100000,249999,65,Preferred Non-Tob,36,0.3592
10,Male,100000,249999,65,Preferred Non-Tob,37,0.3592
10,Male,100000,249999,65,Preferred Non-Tob,38,0.3735
10,Male,100000,249999,65,Preferred Non-Tob,39,0.4185
10,Male,100000,249999,65,Preferred Non-Tob,40,0.4634
10,Male,100000,249999,65,Preferred Non-Tob,41,0.5137
10,Male,100000,249999,65,Preferred Non-Tob,42,0.5723
10,Male,100000,249999,65,Preferred Non-Tob,43,0.6477
10,Male,100000,249999,65,Preferred Non-Tob,44,0.7230
10,Male,100000,249999,65,Preferred Non-Tob,45,0.8234
10,Male,100000,249999,65,Preferred Non-Tob,46,0.9128
10,Male,100000,249999,65,Preferred Non-Tob,47,1.0219
10,Male,100000,249999,65,Preferred Non-Tob,48,1.1083
10,Male,100000,249999,65,Preferred Non-Tob,49,1.2075
10,Male,100000,249999,65,Preferred Non-Tob,50,1.3066
10,Male,100000,249999,65,Preferred Non-Tob,51,1.4546
10,Male,100000,249999,65,Preferred Non-Tob,52,1.6026
10,Male,100000,249999,65,Preferred Non-Tob,53,1.7702
10,Male,100000,249999,65,Preferred Non-Tob,54,1.9572
10,Male,100000,249999,65,Preferred Non-Tob,55,2.3042
10,Male,100000,249999,65,Preferred Non-Tob,56,2.4443
10,Male,100000,249999,65,Preferred Non-Tob,57,2.7143
10,Male,100000,249999,65,Preferred Non-Tob,58,3.0243
10,Male,100000,249999,65,Preferred Non-Tob,59,3.3143
10,Male,100000,249999,65,Preferred Non-Tob,60,3.4642
10,Male,100000,249999,65,Preferred Non-Tob,61,4.1810
10,Male,100000,249999,65,Preferred Non-Tob,62,4.7257
10,Male,100000,249999,65,Preferred Non-Tob,63,5.1081
10,Male,100000,249999,65,Preferred Non-Tob,64,5.8457
10,Male,100000,249999,65,Preferred Non-Tob,65,6.6916
10,Male,100000,249999,65,Preferred Non-Tob,66,7.4528
10,Male,100000,249999,65,Preferred Non-Tob,67,8.3010
10,Male,100000,249999,65,Preferred Non-Tob,68,9.2387
10,Male,100000,249999,65,Preferred Non-Tob,69,10.3681
10,Male,100000,249999,65,Preferred Non-Tob,70,11.4163
10,Male,100000,249999,65,Preferred Non-Tob,71,12.6669
10,Male,100000,249999,65,Preferred Non-Tob,72,14.0857
10,Male,100000,249999,65,Preferred Non-Tob,73,15.8704
10,Male,100000,249999,65,Preferred Non-Tob,74,18.1316
10,Male,100000,249999,65,Preferred Non-Tob,75,20.6163
10,Male,100000,249999,65,Preferred Non-Tob,76,30.9669
10,Male,100000,249999,65,Preferred Non-Tob,77,38.5992
10,Male,100000,249999,65,Preferred Non-Tob,78,47.0021
10,Male,100000,249999,65,Preferred Non-Tob,79,52.6701
10,Male,100000,249999,65,Preferred Non-Tob,80,58.9991
10,Male,100000,249999,65,Standard Non-Tob,18,0.6192
10,Male,100000,249999,65,Standard Non-Tob,19,0.6192
10,Male,100000,249999,65,Standard Non-Tob,20,0.6192
10,Male,100000,249999,65,Standard Non-Tob,21,0.6192
10,Male,100000,249999,65,Standard Non-Tob,22,0.6192
10,Male,100000,249999,65,Standard Non-Tob,23,0.6192
10,Male,100000,249999,65,Standard Non-Tob,24,0.6192
10,Male,100000,249999,65,Standard Non-Tob,25,0.6192
10,Male,100000,249999,65,Standard Non-Tob,26,0.6192
10,Male,100000,249999,65,Standard Non-Tob,27,0.6192
10,Male,100000,249999,65,Standard Non-Tob,28,0.6192
10,Male,100000,249999,65,Standard Non-Tob,29,0.6192
10,Male,100000,249999,65,Standard Non-Tob,30,0.6192
10,Male,100000,249999,65,Standard Non-Tob,31,0.6392
10,Male,100000,249999,65,Standard Non-Tob,32,0.6392
10,Male,100000,249999,65,Standard Non-Tob,33,0.6392
10,Male,100000,249999,65,Standard Non-Tob,34,0.6392
10,Male,100000,249999,65,Standard Non-Tob,35,0.6392
10,Male,100000,249999,65,Standard Non-Tob,36,0.6992
10,Male,100000,249999,65,Standard Non-Tob,37,0.7392
10,Male,100000,249999,65,Standard Non-Tob,38,0.7992
10,Male,100000,249999,65,Standard Non-Tob,39,0.8492
10,Male,100000,249999,65,Standard Non-Tob,40,0.8609
10,Male,100000,249999,65,Standard Non-Tob,41,0.9592
10,Male,100000,249999,65,Standard Non-Tob,42,1.0992
10,Male,100000,249999,65,Standard Non-Tob,43,1.1992
10,Male,100000,249999,65,Standard Non-Tob,44,1.3392
