SheetNo,Term,Gender,MinimumFaceAmount,MaximumFaceAmount,HealthClass,MinimumAge,MaximumAge,StartingRow,Column,PolicyFee
2,10,Male,100000,249999,Preferred Plus Non-Tob,18,80,7,3,65
2,10,Male,100000,249999,Preferred Non-Tob,18,80,7,4,65
2,10,Male,100000,249999,Standard Non-Tob,18,80,7,5,65
2,10,Male,100000,249999,Standard Tob,18,75,7,6,65
2,10,Male,250000,499999,Preferred Plus Non-Tob,18,80,7,9,65
2,10,Male,250000,499999,Preferred Non-Tob,18,80,7,10,65
2,10,Male,250000,499999,Standard Non-Tob,18,80,7,11,65
2,10,Male,250000,499999,Standard Tob,18,75,7,12,65
2,10,Male,500000,999999,Preferred Plus Non-Tob,18,80,7,15,65
2,10,Male,500000,999999,Preferred Non-Tob,18,80,7,16,65
2,10,Male,500000,999999,Standard Non-Tob,18,80,7,17,65
2,10,Male,500000,999999,Standard Tob,18,75,7,18,65
2,10,Male,1000000,100000000,Preferred Plus Non-Tob,18,80,7,21,65
2,10,Male,1000000,100000000,Preferred Non-Tob,18,80,7,22,65
2,10,Male,1000000,100000000,Standard Non-Tob,18,80,7,23,65
2,10,Male,1000000,100000000,Standard Tob,18,75,7,24,65
2,10,Female,100000,249999,Preferred Plus Non-Tob,18,80,7,27,65
2,10,Female,100000,249999,Preferred Non-Tob,18,80,7,28,65
2,10,Female,100000,249999,Standard Non-Tob,18,80,7,29,65
2,10,Female,100000,249999,Standard Tob,18,75,7,30,65
2,10,Female,250000,499999,Preferred Plus Non-Tob,18,80,7,33,65
2,10,Female,250000,499999,Preferred Non-Tob,18,80,7,34,65
2,10,Female,250000,499999,Standard Non-Tob,18,80,7,35,65
2,10,Female,250000,499999,Standard Tob,18,75,7,36,65
2,10,Female,500000,999999,Preferred Plus Non-Tob,18,80,7,39,65
2,10,Female,500000,999999,Preferred Non-Tob,18,80,7,40,65
2,10,Female,500000,999999,Standard Non-Tob,18,80,7,41,65
2,10,Female,500000,999999,Standard Tob,18,75,7,3,42,65
2,10,Female,1000000,100000000,Preferred Plus Non-Tob,18,80,7,45,65
2,10,Female,1000000,100000000,Preferred Non-Tob,18,80,7,46,65
2,10,Female,1000000,100000000,Standard Non-Tob,18,80,7,47,65
2,10,Female,1000000,100000000,Standard Tob,18,75,7,48,65
3,15,Male,100000,249999,Preferred Plus Non-Tob,18,75,7,3,65
3,15,Male,100000,249999,Preferred Non-Tob,18,75,7,4,65
3,15,Male,100000,249999,Standard Non-Tob,18,75,7,5,65
3,15,Male,100000,249999,Standard Tob,18,68,7,6,65
3,15,Male,250000,499999,Preferred Plus Non-Tob,18,75,7,9,65
3,15,Male,250000,499999,Preferred Non-Tob,18,75,7,10,65
3,15,Male,250000,499999,Standard Non-Tob,18,75,7,11,65
3,15,Male,250000,499999,Standard Tob,18,68,7,12,65
3,15,Male,500000,999999,Preferred Plus Non-Tob,18,75,7,15,65
3,15,Male,500000,999999,Preferred Non-Tob,18,75,7,16,65
3,15,Male,500000,999999,Standard Non-Tob,18,75,7,17,65
3,15,Male,500000,999999,Standard Tob,18,68,7,18,65
3,15,Male,1000000,100000000,Preferred Plus Non-Tob,18,75,7,21,65
3,15,Male,1000000,100000000,Preferred Non-Tob,18,75,7,22,65
3,15,Male,1000000,100000000,Standard Non-Tob,18,75,7,23,65
3,15,Male,1000000,100000000,Standard Tob,18,68,7,24,65
3,15,Female,100000,249999,Preferred Plus Non-Tob,18,75,7,27,65
3,15,Female,100000,249999,Preferred Non-Tob,18,75,7,28,65
3,15,Female,100000,249999,Standard Non-Tob,18,75,7,29,65
3,15,Female,100000,249999,Standard Tob,18,68,7,30,65
3,15,Female,250000,499999,Preferred Plus Non-Tob,18,75,7,33,65
3,15,Female,250000,499999,Preferred Non-Tob,18,75,7,34,65
3,15,Female,250000,499999,Standard Non-Tob,18,75,7,35,65
3,15,Female,250000,499999,Standard Tob,18,68,7,36,65
3,15,Female,500000,999999,Preferred Plus Non-Tob,18,75,7,39,65
3,15,Female,500000,999999,Preferred Non-Tob,18,75,7,40,65
3,15,Female,500000,999999,Standard Non-Tob,18,75,7,41,65
3,15,Female,500000,999999,Standard Tob,18,68,7,3,42,65
3,15,Female,1000000,100000000,Preferred Plus Non-Tob,18,75,7,45,65
3,15,Female,1000000,100000000,Preferred Non-Tob,18,75,7,46,65
3,15,Female,1000000,100000000,Standard Non-Tob,18,75,7,47,65
3,15,Female,1000000,100000000,Standard Tob,18,68,7,48,65
4,20,Male,100000,249999,Preferred Plus Non-Tob,18,70,7,3,65
4,20,Male,100000,249999,Preferred Non-Tob,18,70,7,4,65
4,20,Male,100000,249999,Standard Non-Tob,18,70,7,5,65
4,20,Male,100000,249999,Standard Tob,18,62,7,6,65
4,20,Male,250000,499999,Preferred Plus Non-Tob,18,70,7,9,65
4,20,Male,250000,499999,Preferred Non-Tob,18,70,7,10,65
4,20,Male,250000,499999,Standard Non-Tob,18,70,7,11,65
4,20,Male,250000,499999,Standard Tob,18,62,7,12,65
4,20,Male,500000,999999,Preferred Plus Non-Tob,18,70,7,15,65
4,20,Male,500000,999999,Preferred Non-Tob,18,70,7,16,65
4,20,Male,500000,999999,Standard Non-Tob,18,70,7,17,65
4,20,Male,500000,999999,Standard Tob,18,62,7,18,65
4,20,Male,1000000,100000000,Preferred Plus Non-Tob,18,70,7,21,65
4,20,Male,1000000,100000000,Preferred Non-Tob,18,70,7,22,65
4,20,Male,1000000,100000000,Standard Non-Tob,18,70,7,23,65
4,20,Male,1000000,100000000,Standard Tob,18,62,7,24,65
4,20,Female,100000,249999,Preferred Plus Non-Tob,18,70,7,27,65
4,20,Female,100000,249999,Preferred Non-Tob,18,70,7,28,65
4,20,Female,100000,249999,Standard Non-Tob,18,70,7,29,65
4,20,Female,100000,249999,Standard Tob,18,62,7,30,65
4,20,Female,250000,499999,Preferred Plus Non-Tob,18,70,7,33,65
4,20,Female,250000,499999,Preferred Non-Tob,18,70,7,34,65
4,20,Female,250000,499999,Standard Non-Tob,18,70,7,35,65
4,20,Female,250000,499999,Standard Tob,18,62,7,36,65
4,20,Female,500000,999999,Preferred Plus Non-Tob,18,70,7,39,65
