Term,Gender,MinimumFaceAmount,MaximumFaceAmount,PolicyFee,HealthClass,Age,RatePerThousand
10,Male,100000,249999,100,Preferred Plus Non-Tob,18,0.3100
10,Male,100000,249999,100,Preferred Plus Non-Tob,19,0.3000
10,Male,100000,249999,100,Preferred Plus Non-Tob,20,0.3000
10,Male,100000,249999,100,Preferred Plus Non-Tob,21,0.2900
10,Male,100000,249999,100,Preferred Plus Non-Tob,22,0.2800
10,Male,100000,249999,100,Preferred Plus Non-Tob,23,0.2800
10,Male,100000,249999,100,Preferred Plus Non-Tob,24,0.2700
10,Male,100000,249999,100,Preferred Plus Non-Tob,25,0.2700
10,Male,100000,249999,100,Preferred Plus Non-Tob,26,0.2700
10,Male,100000,249999,100,Preferred Plus Non-Tob,27,0.2700
10,Male,100000,249999,100,Preferred Plus Non-Tob,28,0.2700
10,Male,100000,249999,100,Preferred Plus Non-Tob,29,0.2700
10,Male,100000,249999,100,Preferred Plus Non-Tob,30,0.2800
10,Male,100000,249999,100,Preferred Plus Non-Tob,31,0.2800
10,Male,100000,249999,100,Preferred Plus Non-Tob,32,0.2800
10,Male,100000,249999,100,Preferred Plus Non-Tob,33,0.2800
10,Male,100000,249999,100,Preferred Plus Non-Tob,34,0.2800
10,Male,100000,249999,100,Preferred Plus Non-Tob,35,0.2900
10,Male,100000,249999,100,Preferred Plus Non-Tob,36,0.3200
10,Male,100000,249999,100,Preferred Plus Non-Tob,37,0.3500
10,Male,100000,249999,100,Preferred Plus Non-Tob,38,0.4000
10,Male,100000,249999,100,Preferred Plus Non-Tob,39,0.4300
10,Male,100000,249999,100,Preferred Plus Non-Tob,40,0.4800
10,Male,100000,249999,100,Preferred Plus Non-Tob,41,0.5200
10,Male,100000,249999,100,Preferred Plus Non-Tob,42,0.6200
10,Male,100000,249999,100,Preferred Plus Non-Tob,43,0.6600
10,Male,100000,249999,100,Preferred Plus Non-Tob,44,0.6900
10,Male,100000,249999,100,Preferred Plus Non-Tob,45,0.7200
10,Male,100000,249999,100,Preferred Plus Non-Tob,46,0.8000
10,Male,100000,249999,100,Preferred Plus Non-Tob,47,0.8600
10,Male,100000,249999,100,Preferred Plus Non-Tob,48,0.9800
10,Male,100000,249999,100,Preferred Plus Non-Tob,49,1.0600
10,Male,100000,249999,100,Preferred Plus Non-Tob,50,1.1500
10,Male,100000,249999,100,Preferred Plus Non-Tob,51,1.2600
10,Male,100000,249999,100,Preferred Plus Non-Tob,52,1.3700
10,Male,100000,249999,100,Preferred Plus Non-Tob,53,1.5300
10,Male,100000,249999,100,Preferred Plus Non-Tob,54,1.7000
10,Male,100000,249999,100,Preferred Plus Non-Tob,55,1.8700
10,Male,100000,249999,100,Preferred Plus Non-Tob,56,2.0500
10,Male,100000,249999,100,Preferred Plus Non-Tob,57,2.3300
10,Male,100000,249999,100,Preferred Plus Non-Tob,58,2.5900
10,Male,100000,249999,100,Preferred Plus Non-Tob,59,2.8900
10,Male,100000,249999,100,Preferred Plus Non-Tob,60,3.1900
10,Male,100000,249999,100,Preferred Plus Non-Tob,61,3.6000
10,Male,100000,249999,100,Preferred Plus Non-Tob,62,4.0600
10,Male,100000,249999,100,Preferred Plus Non-Tob,63,4.6700
10,Male,100000,249999,100,Preferred Plus Non-Tob,64,5.3800
10,Male,100000,249999,100,Preferred Plus Non-Tob,65,6.0000
10,Male,100000,249999,100,Preferred Plus Non-Tob,66,6.7300
10,Male,100000,249999,100,Preferred Plus Non-Tob,67,7.6100
10,Male,100000,249999,100,Preferred Plus Non-Tob,68,8.6500
10,Male,100000,249999,100,Preferred Plus Non-Tob,69,9.6700
10,Male,100000,249999,100,Preferred Plus Non-Tob,70,10.8300
10,Male,100000,249999,100,Preferred Plus Non-Tob,71,12.2900
10,Male,100000,249999,100,Preferred Plus Non-Tob,72,13.6400
10,Male,100000,249999,100,Preferred Plus Non-Tob,73,15.1500
10,Male,100000,249999,100,Preferred Plus Non-Tob,74,16.9800
10,Male,100000,249999,100,Preferred Plus Non-Tob,75,19.0800
10,Male,100000,249999,100,Preferred Non-Tob,18,0.3800
10,Male,100000,249999,100,Preferred Non-Tob,19,0.3800
10,Male,100000,249999,100,Preferred Non-Tob,20,0.3800
10,Male,100000,249999,100,Preferred Non-Tob,21,0.3800
10,Male,100000,249999,100,Preferred Non-Tob,22,0.3800
10,Male,100000,249999,100,Preferred Non-Tob,23,0.3800
10,Male,100000,249999,100,Preferred Non-Tob,24,0.3800
10,Male,100000,249999,100,Preferred Non-Tob,25,0.4200
10,Male,100000,249999,100,Preferred Non-Tob,26,0.4200
10,Male,100000,249999,100,Preferred Non-Tob,27,0.4200
10,Male,100000,249999,100,Preferred Non-Tob,28,0.4200
10,Male,100000,249999,100,Preferred Non-Tob,29,0.4300
10,Male,100000,249999,100,Preferred Non-Tob,30,0.4300
10,Male,100000,249999,100,Preferred Non-Tob,31,0.4400
10,Male,100000,249999,100,Preferred Non-Tob,32,0.4400
10,Male,100000,249999,100,Preferred Non-Tob,33,0.4400
10,Male,100000,249999,100,Preferred Non-Tob,34,0.4400
10,Male,100000,249999,100,Preferred Non-Tob,35,0.4500
10,Male,100000,249999,100,Preferred Non-Tob,36,0.4800
10,Male,100000,249999,100,Preferred Non-Tob,37,0.5000
10,Male,100000,249999,100,Preferred Non-Tob,38,0.5600
10,Male,100000,249999,100,Preferred Non-Tob,39,0.6100
10,Male,100000,249999,100,Preferred Non-Tob,40,0.6500
10,Male,100000,249999,100,Preferred Non-Tob,41,0.7200
10,Male,100000,249999,100,Preferred Non-Tob,42,0.7900
10,Male,100000,249999,100,Preferred Non-Tob,43,0.8500
10,Male,100000,249999,100,Preferred Non-Tob,44,0.8900
10,Male,100000,249999,100,Preferred Non-Tob,45,0.9300
10,Male,100000,249999,100,Preferred Non-Tob,46,1.0300
10,Male,100000,249999,100,Preferred Non-Tob,47,1.1300
10,Male,100000,249999,100,Preferred Non-Tob,48,1.2400
10,Male,100000,249999,100,Preferred Non-Tob,49,1.3400
10,Male,100000,249999,100,Preferred Non-Tob,50,1.4800
10,Male,100000,249999,100,Preferred Non-Tob,51,1.6400
10,Male,100000,249999,100,Preferred Non-Tob,52,1.8000
10,Male,100000,249999,100,Preferred Non-Tob,53,2.0000
10,Male,100000,249999,100,Preferred Non-Tob,54,2.2100
10,Male,100000,249999,100,Preferred Non-Tob,55,2.4600
10,Male,100000,249999,100,Preferred Non-Tob,56,2.6900
10,Male,100000,249999,100,Preferred Non-Tob,57,3.0000
10,Male,100000,249999,100,Preferred Non-Tob,58,3.3300
10,Male,100000,249999,100,Preferred Non-Tob,59,3.6800
10,Male,100000,249999,100,Preferred Non-Tob,60,4.0300
10,Male,100000,249999,100,Preferred Non-Tob,61,4.5300
10,Male,100000,249999,100,Preferred Non-Tob,62,5.0800
10,Male,100000,249999,100,Preferred Non-Tob,63,5.7500
10,Male,100000,249999,100,Preferred Non-Tob,64,6.5700
10,Male,100000,249999,100,Preferred Non-Tob,65,7.2600
10,Male,100000,249999,100,Preferred Non-Tob,66,8.1900
10,Male,100000,249999,100,Preferred Non-Tob,67,9.2500
10,Male,100000,249999,100,Preferred Non-Tob,68,10.4500
10,Male,100000,249999,100,Preferred Non-Tob,69,11.7300
10,Male,100000,249999,100,Preferred Non-Tob,70,13.1300
10,Male,100000,249999,100,Preferred Non-Tob,71,14.9000
10,Male,100000,249999,100,Preferred Non-Tob,72,16.5500
10,Male,100000,249999,100,Preferred Non-Tob,73,18.3600
10,Male,100000,249999,100,Preferred Non-Tob,74,20.6300
10,Male,100000,249999,100,Preferred Non-Tob,75,23.0800
10,Male,100000,249999,100,Standard Plus Non-Tob,18,0.5800
10,Male,100000,249999,100,Standard Plus Non-Tob,19,0.5800
10,Male,100000,249999,100,Standard Plus Non-Tob,20,0.5800
10,Male,100000,249999,100,Standard Plus Non-Tob,21,0.5800
10,Male,100000,249999,100,Standard Plus Non-Tob,22,0.5800
10,Male,100000,249999,100,Standard Plus Non-Tob,23,0.5800
10,Male,100000,249999,100,Standard Plus Non-Tob,24,0.5800
10,Male,100000,249999,100,Standard Plus Non-Tob,25,0.6200
10,Male,100000,249999,100,Standard Plus Non-Tob,26,0.6300
10,Male,100000,249999,100,Standard Plus Non-Tob,27,0.6400
10,Male,100000,249999,100,Standard Plus Non-Tob,28,0.6500
10,Male,100000,249999,100,Standard Plus Non-Tob,29,0.6500
10,Male,100000,249999,100,Standard Plus Non-Tob,30,0.6700
10,Male,100000,249999,100,Standard Plus Non-Tob,31,0.6700
10,Male,100000,249999,100,Standard Plus Non-Tob,32,0.6800
10,Male,100000,249999,100,Standard Plus Non-Tob,33,0.6900
10,Male,100000,249999,100,Standard Plus Non-Tob,34,0.7000
10,Male,100000,249999,100,Standard Plus Non-Tob,35,0.7400
10,Male,100000,249999,100,Standard Plus Non-Tob,36,0.7800
10,Male,100000,249999,100,Standard Plus Non-Tob,37,0.8400
10,Male,100000,249999,100,Standard Plus Non-Tob,38,0.9200
10,Male,100000,249999,100,Standard Plus Non-Tob,39,1.0000
10,Male,100000,249999,100,Standard Plus Non-Tob,40,1.1100
10,Male,100000,249999,100,Standard Plus Non-Tob,41,1.2500
10,Male,100000,249999,100,Standard Plus Non-Tob,42,1.3800
10,Male,100000,249999,100,Standard Plus Non-Tob,43,1.4400
10,Male,100000,249999,100,Standard Plus Non-Tob,44,1.5500
10,Male,100000,249999,100,Standard Plus Non-Tob,45,1.6600
10,Male,100000,249999,100,Standard Plus Non-Tob,46,1.8000
10,Male,100000,249999,100,Standard Plus Non-Tob,47,1.9200
10,Male,100000,249999,100,Standard Plus Non-Tob,48,2.0700
10,Male,100000,249999,100,Standard Plus Non-Tob,49,2.2300
10,Male,100000,249999,100,Standard Plus Non-Tob,50,2.3800
10,Male,100000,249999,100,Standard Plus Non-Tob,51,2.5900
10,Male,100000,249999,100,Standard Plus Non-Tob,52,2.8000
10,Male,100000,249999,100,Standard Plus Non-Tob,53,3.0300
10,Male,100000,249999,100,Standard Plus Non-Tob,54,3.2600
10,Male,100000,249999,100,Standard Plus Non-Tob,55,3.5600
10,Male,100000,249999,100,Standard Plus Non-Tob,56,3.8700
10,Male,100000,249999,100,Standard Plus Non-Tob,57,4.3200
10,Male,100000,249999,100,Standard Plus Non-Tob,58,4.7900
10,Male,100000,249999,100,Standard Plus Non-Tob,59,5.2300
10,Male,100000,249999,100,Standard Plus Non-Tob,60,5.7300
10,Male,100000,249999,100,Standard Plus Non-Tob,61,6.3400
10,Male,100000,249999,100,Standard Plus Non-Tob,62,7.0700
10,Male,100000,249999,100,Standard Plus Non-Tob,63,7.9900
10,Male,100000,249999,100,Standard Plus Non-Tob,64,9.0800
10,Male,100000,249999,100,Standard Plus Non-Tob,65,10.0900
10,Male,100000,249999,100,Standard Plus Non-Tob,66,11.3700
10,Male,100000,249999,100,Standard Plus Non-Tob,67,12.8400
10,Male,100000,249999,100,Standard Plus Non-Tob,68,14.5900
10,Male,100000,249999,100,Standard Plus Non-Tob,69,16.3300
10,Male,100000,249999,100,Standard Plus Non-Tob,70,18.2700
10,Male,100000,249999,100,Standard Plus Non-Tob,71,20.7700
10,Male,100000,249999,100,Standard Plus Non-Tob,72,23.0700
10,Male,100000,249999,100,Standard Plus Non-Tob,73,25.6300
10,Male,100000,249999,100,Standard Plus Non-Tob,74,28.7300
10,Male,100000,249999,100,Standard Plus Non-Tob,75,33.6300
10,Male,100000,249999,100,Standard Non-Tob,18,0.7500
10,Male,100000,249999,100,Standard Non-Tob,19,0.7500
10,Male,100000,249999,100,Standard Non-Tob,20,0.7500
10,Male,100000,249999,100,Standard Non-Tob,21,0.7500
10,Male,100000,249999,100,Standard Non-Tob,22,0.7500
10,Male,100000,249999,100,Standard Non-Tob,23,0.7500
10,Male,100000,249999,100,Standard Non-Tob,24,0.7500
